# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.36e+00, 1.20e-01, 4.90e-01, 5.91e-02, 3.27e-01, 8.62e-02
   4, 8.72e+00, 2.10e-01, 2.30e-01, 1.18e-01, 3.25e-01, 8.70e-02
   8, 6.71e+01, 3.20e-01, 1.94e+00, 2.36e-01, 3.23e-01, 8.61e-02
  16, 5.59e+02, 6.10e-01, 6.17e+00, 4.73e-01,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-30-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 7.54e+00, 1.30e-01, 1.10e-01, 5.91e-02, 8.63e-02, 3.16e-02
   4, 1.46e+01, 1.60e-01, 2.00e-01, 1.18e-01, 8.68e-02, 4.44e-02
   8, 2.98e+01, 3.00e-01, 4.30e-01, 2.36e-01, 1.02e-01, 4.76e-02
  16, 5.06e+01, 5.50e-01, 8.30e-01, 4.73e-01,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.96e+02, 1.50e-01, 4.10e-01, 1.58e-01, 9.49e-03, 1.21e-03
   4, 8.79e+02, 2.40e-01, 5.60e-01, 3.17e-01, 1.64e-02, 3.43e-03
   8, 1.77e+03, 4.70e-01, 1.12e+00, 6.34e-01, 2.53e-02, 5.24e-03
  16, 3.95e+03, 1.09e+00, 2.88e+00, 1.27e+00,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.59e+00, 1.20e-01, 2.90e-01, 1.58e-01, 3.32e-01, 8.41e-02
   4, 2.38e+01, 2.40e-01, 5.60e-01, 3.17e-01, 3.31e-01, 8.62e-02
   8, 1.07e+02, 5.10e-01, 1.10e+00, 6.34e-01, 3.30e-01, 8.57e-02
  16, 1.98e+02, 1.06e+00, 3.69e+00, 1.27e+00,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.76e+01, 1.40e-01, 1.00e+00, 1.58e-01, 1.30e-02, 2.24e-03
   4, 2.52e+01, 3.30e-01, 6.10e-01, 3.17e-01, 1.63e-02, 5.08e-03
   8, 1.02e+02, 5.10e-01, 1.20e+00, 6.34e-01, 2.50e-02, 6.83e-03
  16, 1.16e+02, 1.00e+00, 6.95e+00, 1.27e+00,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.33e+01, 1.70e-01, 1.15e+00, 6.72e-02, 9.15e-04, 6.60e-04
   4, 6.68e+01, 1.90e-01, 6.38e+00, 2.98e-01, 9.14e-04, 6.10e-04
   8, 1.88e+02, 3.20e-01, 2.79e+01, 1.22e+00, 9.14e-04, 5.65e-04
  16, 2.94e+02, 8.00e-01, 1.17e+02, 4.91e+00,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

