# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.02e+00, 3.00e-02, 3.00e-02, 1.78e-02, 7.23e-05, 7.83e-05
   4, 7.61e+00, 4.00e-02, 7.00e-02, 3.55e-02, 1.67e-04, 2.89e-04
   8, 1.69e+01, 6.00e-02, 1.30e-01, 7.10e-02, 2.57e-04, 2.63e-04
  16, 2.90e+01, 1.60e-01, 3.00e-01, 1.42e-01, 2.57e-04, 3.33e-04
  32, 5.85e+01, 3.00e-01, 6.10e-01, 2.84e-01, 2.58e-04, 3.47e-04
  64, 1.14e+02, 4.30e-01, 1.09e+00, 5.68e-01, 2.55e-04, 3.44e-04

# fftisdf-yang-30-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.97e+00, 3.00e-02, 3.00e-02, 1.78e-02, 7.23e-05, 7.73e-05
   4, 3.41e+00, 3.00e-02, 7.00e-02, 3.55e-02, 1.67e-04, 2.88e-04
   8, 6.36e+00, 6.00e-02, 1.30e-01, 7.10e-02, 2.57e-04, 2.61e-04
  16, 1.33e+01, 1.10e-01, 2.70e-01, 1.42e-01, 2.57e-04, 3.31e-04
  32, 2.21e+01, 2.40e-01, 5.20e-01, 2.84e-01, 2.58e-04, 3.46e-04
  64, 5.25e+01, 4.20e-01, 1.15e+00, 5.68e-01, 2.55e-04, 3.42e-04

# fftisdf-yang-30-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.16e+01, 3.00e-02, 3.00e-02, 1.78e-02, 7.23e-05, 7.83e-05
   4, 8.90e+01, 4.00e-02, 1.70e-01, 3.55e-02, 1.67e-04, 2.89e-04
   8, 1.55e+02, 7.00e-02, 3.50e-01, 7.10e-02, 2.57e-04, 2.63e-04
  16, 3.75e+02, 1.10e-01, 2.70e-01, 1.42e-01, 2.57e-04, 3.33e-04
  32, 3.56e+02, 2.40e-01, 5.60e-01, 2.84e-01, 2.58e-04, 3.47e-04
  64, 7.14e+02, 4.10e-01, 1.13e+00, 5.68e-01, 2.55e-04, 3.44e-04

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 7.45e+00, 3.00e-02, 1.10e-01, 5.37e-02, 6.34e-08, 1.19e-07
   4, 1.42e+01, 7.00e-02, 7.00e-01, 1.07e-01, 9.57e-06, 1.61e-05
   8, 5.17e+01, 1.00e-01, 4.70e-01, 2.15e-01, 2.14e-05, 3.46e-05
  16, 6.04e+01, 2.00e-01, 8.90e-01, 4.30e-01, 1.96e-05, 4.57e-05
  32, 1.14e+02, 3.60e-01, 2.55e+00, 8.60e-01, 2.14e-05, 5.01e-05
  64, 6.81e+02, 8.20e-01, 3.63e+00, 1.72e+00, 2.10e-05, 5.02e-05

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.58e+00, 4.00e-02, 1.10e-01, 5.37e-02, 8.60e-06, 5.12e-05
   4, 1.98e+01, 6.00e-02, 2.20e-01, 1.07e-01, 1.42e-05, 5.69e-05
   8, 2.59e+01, 1.00e-01, 4.50e-01, 2.15e-01, 2.14e-05, 6.21e-05
  16, 5.23e+01, 2.00e-01, 8.90e-01, 4.30e-01, 1.96e-05, 7.20e-05
  32, 6.32e+01, 3.70e-01, 1.80e+00, 8.60e-01, 2.14e-05, 7.41e-05
  64, 8.54e+02, 8.00e-01, 3.74e+00, 1.72e+00, 2.10e-05, 7.39e-05

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.11e+01, 3.00e-02, 1.10e-01, 5.37e-02, 9.45e-08, 1.29e-07
   4, 7.49e+01, 5.00e-02, 2.30e-01, 1.07e-01, 9.57e-06, 1.61e-05
   8, 1.56e+02, 1.00e-01, 4.60e-01, 2.15e-01, 2.14e-05, 3.46e-05
  16, 5.86e+02, 2.10e-01, 9.30e-01, 4.30e-01, 1.96e-05, 4.57e-05
  32, 6.11e+02, 4.80e-01, 1.75e+00, 8.60e-01, 2.14e-05, 5.01e-05
  64, 1.27e+03, 7.40e-01, 3.73e+00, 1.72e+00, 2.10e-05, 5.02e-05

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.07e+01, 1.20e-01, 6.00e-02, 1.28e-02, 1.77e-07, 5.85e-04
   4, 2.11e+01, 1.60e-01, 2.20e-01, 5.66e-02, 1.58e-07, 5.39e-04
   8, 3.84e+01, 1.90e-01, 6.40e-01, 2.32e-01, 1.54e-07, 5.47e-04
  16, 8.64e+01, 2.50e-01, 3.35e+00, 9.33e-01, 1.54e-07, 5.23e-04
  32, 2.49e+02, 3.90e-01, 7.78e+00, 3.74e+00, 1.54e-07, 5.08e-04
  64, 1.05e+03, 1.98e+00, 1.09e+02, 1.50e+01, 1.54e-07, 5.06e-04

