# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
  16, 2.24e+02, 4.77e+00, 4.53e+00, 2.58e+00, 4.07e-05, 1.15e-04
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-30-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.59e+01, 6.30e-01, 5.90e-01, 3.22e-01, 3.50e-05, 1.34e-04
   4, 5.12e+01, 1.37e+00, 1.17e+00, 6.44e-01, 4.50e-05, 1.42e-04
   8, 2.07e+02, 2.91e+00, 3.02e+00, 1.29e+00, 4.87e-05, 1.61e-04
  16, 4.89e+02, 5.75e+00, 4.79e+00, 2.58e+00, 4.92e-05, 1.72e-04
  32, 9.44e+02, 1.10e+01, 9.37e+00, 5.15e+00, 4.75e-05, 1.78e-04
  64, 1.68e+03, 2.38e+01, 3.50e+01, 1.03e+01, 4.90e-05, 1.79e-04

# fftisdf-yang-30-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.01e+02, 6.60e-01, 5.80e-01, 3.22e-01, 2.96e-05, 7.20e-05
   4, 2.97e+02, 1.47e+00, 2.48e+00, 6.44e-01, 3.65e-05, 8.99e-05
   8, 4.26e+02, 2.56e+00, 2.31e+00, 1.29e+00, 4.15e-05, 1.09e-04
  16, 1.53e+03, 6.29e+00, 6.12e+00, 2.58e+00, 3.89e-05, 1.15e-04
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.81e+01, 8.10e-01, 1.19e+00, 5.68e-01, 4.54e-06, 8.58e-06
   4, 1.06e+02, 1.65e+00, 2.31e+00, 1.14e+00, 7.47e-06, 1.15e-05
   8, 5.82e+02, 3.85e+00, 8.48e+00, 2.27e+00, 8.56e-06, 1.38e-05
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 5.15e+01, 8.30e-01, 1.18e+00, 5.68e-01, 1.40e-05, 1.53e-04
   4, 7.62e+01, 1.75e+00, 2.36e+00, 1.14e+00, 1.39e-05, 1.53e-04
   8, 1.43e+02, 3.21e+00, 4.68e+00, 2.27e+00, 1.48e-05, 1.49e-04
  16, 3.32e+02, 6.40e+00, 9.72e+00, 4.54e+00, 1.53e-05, 1.58e-04
  32, 1.57e+03, 1.46e+01, 2.05e+01, 9.08e+00, 1.64e-05, 1.60e-04
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.57e+02, 8.10e-01, 2.09e+00, 5.68e-01, 4.22e-06, 7.78e-06
   4, 3.10e+02, 1.53e+00, 2.35e+00, 1.14e+00, 6.73e-06, 1.10e-05
   8, 6.23e+02, 3.42e+00, 4.71e+00, 2.27e+00, 7.96e-06, 1.25e-05
  16, 2.54e+03, 7.32e+00, 1.82e+01, 4.54e+00, 1.01e-05, 1.50e-05
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.08e+02, 7.00e-01, 7.07e+00, 3.42e-01, 2.17e-07, 1.80e-05
   4, 3.64e+02, 1.25e+00, 2.89e+01, 1.57e+00, 2.14e-07, 1.33e-05
   8, 7.47e+02, 1.52e+00, 1.16e+02, 6.53e+00, 2.11e-07, 1.12e-05
  16,      nan,      nan,      nan,      nan,      nan,      nan
  32,      nan,      nan,      nan,      nan,      nan,      nan
  64,      nan,      nan,      nan,      nan,      nan,      nan

