# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.02e+00, 0.00e+00, 0.00e+00, 7.14e-04, 2.39e-13, 2.74e-11
   4, 1.86e+00, 0.00e+00, 1.00e-02, 3.81e-03, 2.19e-11, 1.59e-09
   8, 3.34e+00, 0.00e+00, 1.00e-02, 7.62e-03, 7.13e-06, 3.10e-06
  16, 6.02e+00, 1.00e-02, 3.00e-02, 1.52e-02, 8.89e-06, 2.52e-05
  32, 1.17e+01, 2.00e-02, 6.00e-02, 3.05e-02, 1.14e-05, 2.42e-05
  64, 3.37e+01, 2.00e-02, 1.70e-01, 6.10e-02, 1.12e-05, 2.72e-05

# fftisdf-yang-30-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.20e-01, 0.00e+00, 0.00e+00, 7.14e-04, 1.84e-07, 4.17e-06
   4, 1.10e+00, 0.00e+00, 1.00e-02, 3.81e-03, 1.80e-07, 4.98e-06
   8, 1.78e+00, 0.00e+00, 1.00e-02, 7.62e-03, 7.05e-06, 6.85e-06
  16, 3.06e+00, 1.00e-02, 3.00e-02, 1.52e-02, 8.98e-06, 2.34e-05
  32, 5.44e+00, 2.00e-02, 7.00e-02, 3.05e-02, 1.14e-05, 2.27e-05
  64, 9.79e+00, 2.00e-02, 1.70e-01, 6.10e-02, 1.11e-05, 2.69e-05

# fftisdf-yang-30-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.01e+00, 0.00e+00, 0.00e+00, 7.14e-04, 4.82e-10, 2.51e-08
   4, 1.83e+00, 0.00e+00, 2.00e-02, 3.81e-03, 5.12e-10, 2.98e-08
   8, 2.63e+00, 0.00e+00, 2.00e-02, 7.62e-03, 7.13e-06, 3.09e-06
  16, 4.77e+00, 1.00e-02, 3.00e-02, 1.52e-02, 8.89e-06, 2.52e-05
  32, 8.94e+00, 2.00e-02, 6.00e-02, 3.05e-02, 1.14e-05, 2.42e-05
  64, 1.87e+01, 2.00e-02, 1.70e-01, 6.10e-02, 1.12e-05, 2.72e-05

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.00e+00, 0.00e+00, 0.00e+00, 7.14e-04, 2.39e-13, 2.74e-11
   4, 2.21e+00, 0.00e+00, 1.00e-02, 6.72e-03, 1.74e-11, 1.07e-09
   8, 3.83e+00, 1.00e-02, 3.00e-02, 1.34e-02, 2.37e-09, 2.06e-07
  16, 7.98e+00, 1.00e-02, 8.00e-02, 2.69e-02, 3.06e-06, 1.74e-06
  32, 1.39e+01, 2.00e-02, 1.50e-01, 5.37e-02, 2.44e-06, 3.12e-06
  64, 2.77e+01, 2.00e-02, 3.10e-01, 1.07e-01, 2.87e-06, 4.93e-06

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 7.40e-01, 0.00e+00, 0.00e+00, 7.14e-04, 1.84e-07, 4.17e-06
   4, 1.74e+00, 0.00e+00, 2.00e-02, 6.72e-03, 1.80e-07, 4.98e-06
   8, 2.23e+00, 1.00e-02, 2.00e-02, 1.34e-02, 1.86e-07, 5.79e-06
  16, 3.80e+00, 1.00e-02, 7.00e-02, 2.69e-02, 2.96e-06, 5.57e-06
  32, 6.73e+00, 2.00e-02, 1.40e-01, 5.37e-02, 2.45e-06, 5.80e-06
  64, 1.23e+01, 4.00e-02, 2.80e-01, 1.07e-01, 2.83e-06, 8.72e-06

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.90e-01, 0.00e+00, 0.00e+00, 7.14e-04, 4.82e-10, 2.51e-08
   4, 2.10e+00, 0.00e+00, 2.00e-02, 6.72e-03, 5.04e-10, 2.98e-08
   8, 3.33e+00, 1.00e-02, 3.00e-02, 1.34e-02, 3.65e-09, 1.34e-07
  16, 5.79e+00, 2.00e-02, 7.00e-02, 2.69e-02, 3.06e-06, 1.84e-06
  32, 1.08e+01, 4.00e-02, 2.10e-01, 5.37e-02, 2.44e-06, 3.21e-06
  64, 2.38e+01, 2.00e-02, 2.90e-01, 1.07e-01, 2.87e-06, 4.98e-06

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 7.68e+00, 8.00e-02, 3.00e-02, 2.30e-04, 5.48e-06, 1.32e-03
   4, 1.28e+01, 1.20e-01, 1.10e-01, 9.93e-04, 3.80e-06, 1.05e-03
   8, 1.53e+01, 1.50e-01, 3.50e-01, 4.05e-03, 3.11e-07, 8.27e-04
  16, 1.89e+01, 2.60e-01, 1.45e+00, 1.63e-02, 3.28e-07, 7.45e-04
  32, 3.01e+01, 3.20e-01, 9.92e+00, 6.51e-02, 3.21e-07, 6.86e-04
  64, 7.10e+01, 4.92e+00, 2.37e+01, 2.60e-01, 3.13e-07, 6.42e-04

