# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.50e-01, 0.00e+00, 0.00e+00, 6.86e-04, 3.76e-05, 1.10e-04
   4, 4.10e+00, 0.00e+00, 3.00e-02, 1.87e-02, 2.37e-06, 9.41e-06
   8, 6.71e+00, 1.00e-02, 1.10e-01, 5.31e-02, 1.35e-06, 6.94e-06
  16, 1.69e+01, 1.00e-02, 2.10e-01, 1.06e-01, 1.01e-06, 5.86e-06
  32, 3.14e+01, 2.00e-02, 4.30e-01, 2.12e-01, 1.11e-06, 4.30e-06
  64, 8.90e+01, 3.00e-02, 8.60e-01, 4.25e-01, 7.35e-07, 3.75e-06

# fftisdf-yang-80-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.30e-01, 0.00e+00, 0.00e+00, 6.86e-04, 3.75e-05, 1.14e-04
   4, 2.07e+00, 1.00e-02, 3.00e-02, 1.87e-02, 2.46e-06, 1.42e-05
   8, 3.98e+00, 1.00e-02, 1.00e-01, 5.31e-02, 1.25e-06, 1.24e-05
  16, 8.94e+00, 1.00e-02, 2.70e-01, 1.06e-01, 1.10e-06, 1.05e-05
  32, 1.59e+01, 2.00e-02, 4.30e-01, 2.12e-01, 1.20e-06, 8.37e-06
  64, 2.86e+01, 3.00e-02, 8.70e-01, 4.25e-01, 7.41e-07, 7.18e-06

# fftisdf-yang-80-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.04e+00, 0.00e+00, 1.00e-02, 6.86e-04, 3.76e-05, 1.10e-04
   4, 2.49e+00, 1.00e-02, 3.00e-02, 1.87e-02, 2.37e-06, 9.42e-06
   8, 7.35e+00, 1.00e-02, 1.00e-01, 5.31e-02, 1.34e-06, 6.97e-06
  16, 9.88e+00, 1.00e-02, 2.10e-01, 1.06e-01, 1.01e-06, 5.89e-06
  32, 2.06e+01, 3.00e-02, 4.20e-01, 2.12e-01, 1.11e-06, 4.31e-06
  64, 3.84e+01, 3.00e-02, 8.70e-01, 4.25e-01, 7.35e-07, 3.76e-06

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 8.01e+00, 1.00e-01, 5.00e-02, 2.30e-04, 5.48e-06, 1.32e-03
   4, 1.31e+01, 1.10e-01, 1.00e-01, 9.93e-04, 3.80e-06, 1.05e-03
   8, 1.33e+01, 2.40e-01, 3.90e-01, 4.05e-03, 3.11e-07, 8.27e-04
  16, 1.86e+01, 2.70e-01, 1.53e+00, 1.63e-02, 3.28e-07, 7.45e-04
  32, 2.96e+01, 4.10e-01, 7.50e+00, 6.51e-02, 3.21e-07, 6.86e-04
  64, 7.11e+01, 5.50e-01, 2.86e+01, 2.60e-01, 3.13e-07, 6.42e-04

