# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.32e+01, 0.00e+00, 1.00e-02, 5.65e-03, 1.20e-06, 2.13e-07
   4, 2.84e+01, 1.00e-02, 3.00e-02, 1.17e-02, 2.84e-03, 2.98e-04
   8, 6.41e+01, 2.00e-02, 4.00e-02, 2.33e-02, 5.03e-02, 4.76e-03
  16, 1.14e+02, 2.00e-02, 1.10e-01, 4.67e-02, 5.04e-02, 6.04e-03
  32, 2.56e+02, 3.00e-02, 2.10e-01, 9.33e-02, 5.68e-02, 8.14e-03
  64, 4.45e+02, 7.00e-02, 4.20e-01, 1.87e-01, 5.31e-02, 8.09e-03

# fftisdf-yang-30-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.75e+00, 1.00e-02, 2.00e-02, 5.65e-03, 4.13e-02, 7.79e-03
   4, 8.77e+00, 1.00e-02, 1.00e-02, 1.17e-02, 4.13e-02, 8.44e-03
   8, 2.53e+01, 2.00e-02, 4.00e-02, 2.33e-02, 6.24e-02, 1.06e-02
  16, 4.11e+01, 2.00e-02, 7.00e-02, 4.67e-02, 6.83e-02, 1.29e-02
  32, 1.65e+02, 4.00e-02, 2.10e-01, 9.33e-02, 6.87e-02, 1.32e-02
  64, 4.02e+02, 7.00e-02, 4.20e-01, 1.87e-01, 8.49e-02, 1.35e-02

# fftisdf-yang-30-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.41e+00, 0.00e+00, 1.00e-02, 5.65e-03, 3.05e-05, 2.44e-04
   4, 2.72e+00, 1.00e-02, 2.00e-02, 1.17e-02, 2.85e-03, 2.94e-04
   8, 4.61e+00, 1.00e-02, 4.00e-02, 2.33e-02, 5.03e-02, 4.76e-03
  16, 8.93e+00, 2.00e-02, 1.10e-01, 4.67e-02, 5.04e-02, 6.01e-03
  32, 1.82e+01, 3.00e-02, 2.00e-01, 9.33e-02, 5.68e-02, 8.14e-03
  64, 4.72e+01, 7.00e-02, 4.10e-01, 1.87e-01, 5.31e-02, 8.09e-03

# fftisdf-yang-40-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.50e+01, 0.00e+00, 1.00e-02, 5.57e-03, 1.99e-07, 8.12e-07
   4, 3.56e+01, 1.00e-02, 9.00e-02, 2.06e-02, 4.29e-05, 1.85e-05
   8, 7.69e+01, 2.00e-02, 8.00e-02, 4.11e-02, 3.43e-03, 3.32e-04
  16, 1.44e+02, 3.00e-02, 1.80e-01, 8.23e-02, 4.60e-03, 5.11e-04
  32, 2.80e+02, 4.00e-02, 3.40e-01, 1.65e-01, 6.45e-03, 4.97e-04
  64, 5.72e+02, 8.00e-02, 7.20e-01, 3.29e-01, 6.35e-03, 6.60e-04

# fftisdf-yang-40-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.52e+00, 0.00e+00, 1.00e-02, 5.57e-03, 4.13e-02, 7.79e-03
   4, 1.06e+01, 1.00e-02, 4.00e-02, 2.06e-02, 4.12e-02, 8.27e-03
   8, 1.91e+01, 2.00e-02, 8.00e-02, 4.11e-02, 4.23e-02, 8.76e-03
  16, 5.64e+01, 2.00e-02, 1.70e-01, 8.23e-02, 4.23e-02, 8.26e-03
  32, 8.49e+01, 4.00e-02, 3.50e-01, 1.65e-01, 4.26e-02, 8.07e-03
  64, 2.42e+02, 7.00e-02, 7.40e-01, 3.29e-01, 4.28e-02, 7.84e-03

# fftisdf-yang-40-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.59e+00, 0.00e+00, 1.00e-02, 5.57e-03, 3.05e-05, 2.44e-04
   4, 3.45e+00, 1.00e-02, 4.00e-02, 2.06e-02, 5.01e-05, 2.72e-04
   8, 6.29e+00, 2.00e-02, 8.00e-02, 4.11e-02, 3.43e-03, 3.34e-04
  16, 1.69e+01, 3.00e-02, 1.90e-01, 8.23e-02, 4.60e-03, 5.11e-04
  32, 2.36e+01, 4.00e-02, 3.50e-01, 1.65e-01, 6.46e-03, 4.96e-04
  64, 1.28e+02, 7.00e-02, 7.40e-01, 3.29e-01, 6.36e-03, 6.60e-04

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 6.30e+00, 8.00e-02, 2.00e-02, 1.12e-03, 8.75e-04, 7.56e-04
   4, 8.49e+00, 1.20e-01, 1.50e-01, 4.92e-03, 8.76e-04, 6.54e-04
   8, 1.54e+01, 1.70e-01, 4.50e-01, 2.02e-02, 8.76e-04, 6.09e-04
  16, 2.26e+01, 2.30e-01, 1.60e+00, 8.11e-02, 8.76e-04, 5.92e-04
  32, 4.32e+01, 3.40e-01, 2.84e+00, 3.25e-01, 8.76e-04, 5.90e-04
  64, 1.13e+02, 9.80e-01, 1.32e+01, 1.30e+00, 8.76e-04, 5.88e-04

