# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   4, 2.36e+02, 1.60e-01, 1.09e+00, 6.31e-01, 4.94e-04, 1.66e-04
   8, 4.11e+02, 3.40e-01, 2.19e+00, 1.26e+00, 7.00e-04, 1.92e-04
  16, 8.84e+02, 6.30e-01, 4.46e+00, 2.52e+00, 5.53e-04, 2.16e-04
  32, 1.79e+03, 1.21e+00, 9.20e+00, 5.05e+00, 4.75e-04, 2.15e-04
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-80-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 2.56e+01, 9.00e-02, 3.00e-01, 1.77e-01, 5.73e-02, 8.56e-03
   4, 7.15e+01, 1.70e-01, 1.09e+00, 6.31e-01, 5.71e-02, 9.84e-03
   8, 1.54e+02, 3.40e-01, 2.24e+00, 1.26e+00, 5.71e-02, 1.13e-02
  16, 7.84e+02, 7.50e-01, 1.09e+01, 2.52e+00, 5.71e-02, 9.23e-03
  32, 5.60e+02, 1.21e+00, 8.76e+00, 5.05e+00, 5.70e-02, 8.23e-03
  64,      nan,      nan,      nan,      nan,      nan,      nan

# fftisdf-yang-80-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 9.45e+00, 6.00e-02, 3.20e-01, 1.77e-01, 3.27e-04, 4.07e-04
   4, 3.76e+01, 1.60e-01, 1.12e+00, 6.31e-01, 4.94e-04, 4.56e-04
   8, 2.71e+02, 3.70e-01, 2.43e+00, 1.26e+00, 7.00e-04, 5.04e-04
  16, 1.50e+02, 6.10e-01, 4.48e+00, 2.52e+00, 5.53e-04, 4.39e-04
  32, 1.00e+03, 1.47e+00, 9.72e+00, 5.05e+00,      nan,      nan
  64, 5.54e+02, 2.40e+00, 1.71e+01, 1.01e+01, 4.64e-04, 3.90e-04

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.18e+01, 2.30e-01, 6.00e-02, 1.84e-02, 6.60e-04, 4.16e-04
   4, 7.26e+01, 2.10e-01, 2.70e-01, 8.13e-02, 6.58e-04, 4.19e-04
   8, 8.60e+01, 3.00e-01, 1.01e+00, 3.33e-01, 6.56e-04, 4.20e-04
  16, 1.38e+02, 4.70e-01, 3.38e+00, 1.34e+00, 6.56e-04, 4.22e-04
  32, 1.99e+02, 7.30e-01, 1.42e+01, 5.37e+00, 6.56e-04, 4.23e-04
  64, 5.61e+02, 2.97e+00, 1.33e+02, 2.15e+01,      nan,      nan

