# fftdf-120
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 4.86e+00, 2.00e-02, 1.10e-01, 5.53e-02, 3.66e-07, 5.36e-07
   4, 2.80e+01, 7.00e-02, 1.44e+00, 2.80e-01, 1.41e-07, 2.47e-07
   8, 2.78e+01, 1.00e-01, 1.01e+00, 5.61e-01, 1.17e-07, 2.24e-07
  16, 3.45e+02, 2.20e-01, 2.08e+00, 1.12e+00, 8.13e-08, 1.36e-07
  32, 1.42e+02, 3.90e-01, 4.14e+00, 2.24e+00, 1.15e-07, 1.22e-07
  64, 2.69e+02, 7.50e-01, 7.93e+00, 4.49e+00, 9.43e-08, 1.65e-07

# fftisdf-yang-80-40
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.31e+00, 2.00e-02, 4.10e-01, 5.53e-02, 5.47e-07, 7.79e-06
   4, 2.63e+01, 7.00e-02, 6.20e-01, 2.80e-01, 3.18e-07, 9.75e-06
   8, 2.57e+01, 1.10e-01, 1.04e+00, 5.61e-01, 3.25e-07, 1.20e-05
  16, 5.26e+01, 9.40e-01, 2.07e+00, 1.12e+00, 3.24e-07, 1.12e-05
  32, 1.42e+02, 3.80e-01, 3.98e+00, 2.24e+00, 3.05e-07, 1.02e-05
  64, 2.31e+02, 7.80e-01, 7.85e+00, 4.49e+00, 3.12e-07, 9.25e-06

# fftisdf-yang-80-80
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 3.72e+00, 2.00e-02, 7.00e-02, 5.53e-02, 3.66e-07, 5.39e-07
   4, 2.93e+01, 6.00e-02, 5.20e-01, 2.80e-01, 1.40e-07, 2.55e-07
   8, 2.34e+01, 1.00e-01, 1.01e+00, 5.61e-01, 1.17e-07, 2.30e-07
  16, 4.67e+01, 2.30e-01, 1.95e+00, 1.12e+00, 8.09e-08, 1.39e-07
  32, 1.09e+02, 3.80e-01, 4.02e+00, 2.24e+00, 1.15e-07, 1.22e-07
  64, 2.34e+02, 7.60e-01, 8.07e+00, 4.49e+00, 9.42e-08, 1.65e-07

# gdf
# nk,    build,  vj_time,  vk_time,     size,   vj_err,   vk_err
   2, 1.63e+02, 1.10e-01, 4.00e-02, 5.51e-03, 6.13e-07, 2.43e-05
   4, 1.70e+02, 1.00e-01, 1.70e-01, 2.52e-02, 4.64e-07, 1.75e-05
   8, 1.75e+02, 1.60e-01, 6.10e-01, 1.05e-01, 2.26e-07, 1.46e-05
  16, 3.70e+02, 2.80e-01, 2.57e+00, 4.27e-01, 2.25e-07, 1.23e-05
  32, 3.99e+02, 3.40e-01, 1.09e+01, 1.72e+00, 2.25e-07, 1.11e-05
  64, 5.42e+02, 1.85e+00, 5.78e+01, 6.89e+00, 2.24e-07, 1.06e-05

